Source Name	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Organism Part]	Term Source 2 REF	Term Source 2 Accession	Protocol REF	Protocol REF	Protocol REF	Assay Name	Experimental Condition [stretch duration]	Experimental Condition [ Nocodazole or DMSO]	Comment [Gene Identifier]	Comment [Gene Symbol]	Comment [Gene Annotation Comments]	Dataset Name	Image File	Comment [Image File Path]	Comment [Image File Comments]	Comment [Image File Type]	Channels	Protocol REF	Processed Data File
ExperimentB_No01_DMSO_23_control__024.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__024.czi	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__024.czi	ImagesOfExperimentA	(XYZC) = 512 x 512 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__025.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__025.czi	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__025.czi	ImagesOfExperimentA	(XYZC) = 512 x 512 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__026.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__026.czi	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__026.czi	ImagesOfExperimentA	(XYZC) = 512 x 512 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__027.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__027.czi	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__027.czi	ImagesOfExperimentA	(XYZC) = 512 x 512 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__028.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__028.czi	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__028.czi	ImagesOfExperimentA	(XYZC) = 512 x 512 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__029.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__029.czi	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__029.czi	ImagesOfExperimentA	(XYZC) = 512 x 512 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__030.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__030.czi	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__030.czi	ImagesOfExperimentA	(XYZC) = 512 x 512 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__031.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__031.czi	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__031.czi	ImagesOfExperimentA	(XYZC) = 512 x 512 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__032.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__032.czi	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__032.czi	ImagesOfExperimentA	(XYZC) = 512 x 512 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__033.lsm	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__033.lsm	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__033.lsm	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
